Sample Date,Event Type,Water Flow,Sampler,Collection Method,Site ID,Analyte Name,AI_Type (major use),Alt Analyte Name2,Result,RL,tbl Analytical Methods.MDL,Water TOC (ppm)
13-Feb-2009,Storm,Flowing,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.2030,0.0050,0.0018,13.95
07-Apr-2009,Storm,Flowing,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0985,0.0050,0.0018,6.76
13-Apr-2009,Nonstorm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0257,0.0050,0.0018,8.75
01-May-2009,Storm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0203,0.0050,0.0018,3.12
28-Aug-2009,Nonstorm,Flowing,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,0.0168,0.0050,0.0018,1.77
28-Aug-2009,Nonstorm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0168,0.0050,0.0018,9.71
12-Oct-2009,Nonstorm,Flowing,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,non-detect,0.0050,0.0018,1.51
12-Oct-2009,Nonstorm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0141,0.0050,0.0018,7.55
13-Oct-2009,Storm,Flowing,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,0.0221,0.0050,0.0018,6.38
13-Oct-2009,Storm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0332,0.0050,0.0018,5.57
04-Apr-2010,Storm,Flowing,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,0.0394,0.0050,0.0018,3.33
04-Apr-2010,Storm,Flowing,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0405,0.0050,0.0018,2.28
19-Jul-2010,Nonstorm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0343,0.0050,0.0018,12.28
24-Oct-2010,Storm,Flowing,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0317,0.0050,0.0018,11.52
16-Feb-2011,Storm,Flowing,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0640,0.0020,0.0018,4.33
15-May-2011,Storm,Flowing,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0648,0.0020,0.0009,9.25
27-Jun-2011,Nonstorm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0197,0.0020,0.0009,8.55
01-Aug-2011,Nonstorm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0276,0.0020,0.0009,11.32
01-Aug-2011,Nonstorm,Flowing,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.0245,0.0020,0.0009,13.87
02-Aug-2011,Nonstorm,Flowing,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,0.0738,0.0020,0.0009,5.95
02-Aug-2011,Nonstorm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0244,0.0020,0.0009,7.94
05-Oct-2011,Storm,Flowing,Autosampler,Automatic sampler; time weighted,FOL002,Bifenthrin,Insecticide,,0.0194,0.0020,0.0009,19.07
05-Oct-2011,Storm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0099,0.0020,0.0009,10.95
05-Oct-2011,Storm,Flowing,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0541,0.0020,0.0009,23.17
05-Oct-2011,Storm,Flowing,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.0675,0.0020,0.0009,8.67
20-Jan-2012,Storm,Flowing,Autosampler,Automatic sampler; flow weighted,FOL002,Bifenthrin,Insecticide,,0.0486,0.0020,0.0009,4.33
20-Jan-2012,Storm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0129,0.0020,0.0009,3.27
20-Jan-2012,Storm,Flowing,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0525,0.0020,0.0009,5.44
20-Jan-2012,Storm,Flowing,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.0334,0.0020,0.0009,7.27
19-Jun-2012,Nonstorm,Flowing,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,0.0070,0.0010,0.0009,8.18
19-Jun-2012,Nonstorm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0141,0.0010,0.0009,8.55
19-Jun-2012,Nonstorm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0354,0.0010,0.0009,12.10
19-Jun-2012,Nonstorm,Ponded,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.0148,0.0010,0.0009,10.74
31-Jul-2012,Nonstorm,Flowing,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,0.0137,0.0010,0.0009,10.85
31-Jul-2012,Nonstorm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0025,0.0010,0.0009,6.53
05-Sep-2012,Nonstorm,Flowing,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,0.0033,0.0010,0.0009,6.88
05-Sep-2012,Nonstorm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0042,0.0010,0.0009,3.57
22-Oct-2012,Storm,Flowing,Autosampler,Automatic sampler; time weighted,FOL002,Bifenthrin,Insecticide,,0.0149,0.0010,0.0009,8.38
22-Oct-2012,Storm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0130,0.0010,0.0009,8.06
19-Feb-2013,Storm,Flowing,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,0.0598,0.0010,0.0009,5.35
19-Feb-2013,Storm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0172,0.0010,0.0009,3.51
19-Feb-2013,Storm,Flowing,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.1410,0.0010,0.0009,4.28
19-Feb-2013,Storm,Flowing,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.0499,0.0010,0.0009,8.29
30-Apr-2013,Nonstorm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0190,0.0010,0.0009,13.39
30-Apr-2013,Nonstorm,Flowing,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.0099,0.0010,0.0009,17.06
01-May-2013,Nonstorm,Flowing,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,0.0019,0.0010,0.0009,16.54
01-May-2013,Nonstorm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0117,0.0010,0.0009,7.45
04-Jun-2013,Nonstorm,Flowing,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,0.0039,0.0010,0.0009,11.23
04-Jun-2013,Nonstorm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0068,0.0010,0.0009,6.66
04-Jun-2013,Nonstorm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0116,0.0010,0.0009,11.33
04-Jun-2013,Nonstorm,Flowing,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.0090,0.0010,0.0009,9.32
09-Jul-2013,Nonstorm,Flowing,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,0.0040,0.0010,0.0009,4.12
09-Jul-2013,Nonstorm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0070,0.0010,0.0009,5.92
06-Aug-2013,Nonstorm,Flowing,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,0.0364,0.0010,0.0009,6.24
06-Aug-2013,Nonstorm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0021,0.0010,0.0009,6.80
06-Aug-2013,Nonstorm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0087,0.0010,0.0009,8.67
06-Aug-2013,Nonstorm,Flowing,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.0096,0.0010,0.0009,10.62
19-Nov-2013,Storm,Flowing,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,0.0816,0.0010,0.0009,13.60
19-Nov-2013,Storm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0627,0.0010,0.0009,10.45
19-Nov-2013,Storm,Flowing,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0327,0.0010,0.0009,8.11
19-Nov-2013,Storm,Flowing,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.0367,0.0010,0.0009,9.71
26-Feb-2014,Storm,Flowing,Autosampler,Automatic sampler; time weighted,FOL002,Bifenthrin,Insecticide,,0.0253,0.0010,0.0009,5.58
26-Feb-2014,Storm,Flowing,Autosampler,Automatic sampler; time weighted,FOL003,Bifenthrin,Insecticide,,0.0386,0.0010,0.0009,4.43
26-Feb-2014,Storm,Flowing,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0261,0.0010,0.0009,5.28
26-Feb-2014,Storm,Flowing,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.0273,0.0010,0.0009,4.57
17-Mar-2014,Nonstorm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0055,0.0021,0.0017,5.00
17-Mar-2014,Nonstorm,Flowing,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.0280,0.0021,0.0017,8.78
07-May-2014,Nonstorm,Flowing,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,0.0032,0.0010,0.0009,9.90
07-May-2014,Nonstorm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,non-detect,0.0010,0.0009,6.83
02-Jun-2014,Nonstorm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0060,0.0010,0.0009,11.61
02-Jun-2014,Nonstorm,Ponded,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.1800,0.0010,0.0009,13.22
04-Jun-2014,Nonstorm,Ponded,Hand,Water grab sample,FOL002,Bifenthrin,Insecticide,,non-detect,0.0010,0.0009,3.13
04-Jun-2014,Nonstorm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0109,0.0010,0.0009,7.96
09-Jul-2014,Nonstorm,Flowing,Perstaltic pump,Automatic sampler; single time,FOL002,Bifenthrin,Insecticide,,0.0243,0.0010,0.0009,11.34
09-Jul-2014,Nonstorm,Flowing,Hand,Water grab sample,FOL003,Bifenthrin,Insecticide,,0.0147,0.0010,0.0009,7.96
06-Aug-2014,Nonstorm,Ponded,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0183,0.0010,0.0009,33.02
06-Aug-2014,Nonstorm,Flowing,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.0129,0.0010,0.0009,34.03
31-Oct-2014,Storm,Flowing,Hand,Water grab sample,PGC010,Bifenthrin,Insecticide,,0.0538,0.0010,0.0009,4.30
31-Oct-2014,Storm,Flowing,Hand,Water grab sample,PGC022,Bifenthrin,Insecticide,,0.1580,0.0010,0.0009,7.56
